Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Hot Water (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Clothes Dryer (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Range/Oven (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Mech Vent Preheating (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Grill (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Lighting (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Fireplace (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Generator (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Coal: Heating (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Coal: Heating Heat Pump Backup (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Coal: Hot Water (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Coal: Clothes Dryer (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Coal: Range/Oven (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Coal: Mech Vent Preheating (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Coal: Grill (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Coal: Lighting (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Coal: Fireplace (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Coal: Generator (lb),0.0

Load: Heating: Delivered (MBtu),32.377
Load: Heating: Heat Pump Backup (MBtu),0.0
Load: Cooling: Delivered (MBtu),6.91
Load: Hot Water: Delivered (MBtu),6.723
Load: Hot Water: Tank Losses (MBtu),3.698
Load: Hot Water: Desuperheater (MBtu),0.0
Load: Hot Water: Solar Thermal (MBtu),0.0

Unmet Hours: Heating (hr),32.0
Unmet Hours: Cooling (hr),59.0

Peak Electricity: Winter Total (W),4186.1
Peak Electricity: Summer Total (W),4481.9
Peak Electricity: Annual Total (W),4481.9

Peak Load: Heating: Delivered (kBtu/hr),24.88
Peak Load: Cooling: Delivered (kBtu/hr),7.306

