occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.5,0.362,0.362,0,0,0,0,0.499,0.72,0.72,0,0,0
1,0.882,0.882,0,0,0,0,0.881,0.993,0.993,0,0,0
1,1,1,0,0,0,0,0.937,0.937,0.937,0,0,0.0952
1,0.921,0.921,0,0,0,0,0.993,0.88,0.88,0,0,0.143
1,0.384,0.384,0,0,0,0,0.611,0.654,0.654,0,0,0.238
1,0.334,0.334,0,0,0,0,0.541,0.607,0.607,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0476
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.246,0.246,0,0,0,0,0.457,0.626,0.626,0,0,0.332
1,0.26,0.26,0,0,0,0,0.367,0.635,0.635,0,0,0.194
0.5,0.267,0.267,0,0,0,0,0.29,0.635,0.635,0,0,0
0.5,0.26,0.26,0,0,0,0,0.297,0.635,0.635,0,0,0
0.5,0.251,0.251,0,0,0,0,0.304,0.645,0.645,0,0,0.0476
0.5,0.245,0.245,0,0,0,0,0.297,0.654,0.654,0,0,0
0.5,0.243,0.243,0.25,0,0,0,0.325,0.654,0.654,0,0,0.0476
1,0.439,0.439,0,0,0,0,0.433,0.824,0.824,0,0,0.143
0.5,0.253,0.253,0,0,0,0,0.353,0.664,0.664,0,0,0.19
0.5,0.286,0.286,0,0,0,0,0.402,0.682,0.682,0,0,0.0476
1,0.675,0.675,0,0,0,0,0.741,0.974,0.974,0,0,0
0.5,0.465,0.465,0,0,0,0,0.569,0.729,0.729,0,0,0.286
1,0.524,0.524,0,0,0,0,0.597,0.701,0.701,0,0,0.0952
1,0.921,0.921,0,0,0,0,0.993,0.88,0.88,0,0,0.296
1,0.719,0.719,0,0,0,0,0.965,0.843,0.843,0,0,0.136
1,0.619,0.619,0,0,0,0,0.825,0.749,0.749,0,0,0.143
1,0.148,0.148,0,0,0,0,0.478,0.57,0.57,0,0,0.19
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0.0833,0,0,0,0.258,0.465,0.465,0,0,0
1,0.351,0.351,0.683,0,0,0,0.601,0.693,0.693,0,0,0
0.5,0.246,0.246,0.517,0,0,0,0.457,0.626,0.626,0,0,0
0.5,0.26,0.26,0,0,0,0,0.367,0.635,0.635,0,0,0
0.5,0.267,0.267,0,0,0,0,0.29,0.635,0.635,0,0,0
0.5,0.26,0.26,0,0,0,0,0.297,0.635,0.635,0,0,0
0.5,0.251,0.251,0,0,0,0,0.304,0.645,0.645,0,0,0
0.5,0.245,0.245,0,0,0,0,0.297,0.654,0.654,0,0,0
0.5,0.243,0.243,0,0,0,0,0.325,0.654,0.654,0,0,0
0.5,0.244,0.244,0,0,0,0,0.346,0.645,0.645,0,0,0.386
1,0.457,0.457,0.517,0,0,0,0.447,0.862,0.862,0,0,0.146
1,0.523,0.523,0,0,0,0,0.545,0.899,0.899,0,0,0
1,0.675,0.675,0.25,0,0,0,0.741,0.974,0.974,0,0,0.0476
1,0.882,0.882,0,0,0,0,0.881,0.993,0.993,0,0,0.333
1,1,1,0,0,0,0,0.937,0.937,0.937,0,0,0.0476
1,0.921,0.921,0,0,0,0,0.993,0.88,0.88,0,0,0.143
1,0.384,0.384,0,0,0,0,0.611,0.654,0.654,0,0,0.333
1,0.334,0.334,0,0,0,0,0.541,0.607,0.607,0,0,0.523
1,0.148,0.148,0,0,0,0,0.478,0.57,0.57,0,0,0.177
1,0.0857,0.0857,0,0,0,0,0.409,0.56,0.56,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0517,0.0517,0,0,0,0,0.36,0.532,0.532,0,0,0.204
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.309
1,0.2,0.2,0,0,0,0,0.43,0.579,0.579,0,0,0.136
0.5,0.049,0.049,0.0833,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.26,0.26,0.683,0,0,0,0.367,0.635,0.635,0,0,0.0476
0.5,0.267,0.267,0,0,0,0,0.29,0.635,0.635,0,0,0
0.5,0.26,0.26,0,0,0.8,0,0.297,0.635,0.635,0,0.227,0
0.5,0.251,0.251,0,0,1,0,0.304,0.645,0.645,0,0.682,0
0.5,0.245,0.245,0,0,1,0.367,0.297,0.654,0.654,0,0.476,0.143
0.5,0.243,0.243,0,0,0.1,0.983,0.325,0.654,0.654,0,0.508,0.143
0.5,0.244,0.244,0,0,0,0,0.346,0.645,0.645,0,0.682,0
0.5,0.253,0.253,0,0,0,0,0.353,0.664,0.664,0,0.7,0
1,0.523,0.523,0,0,0,0,0.545,0.899,0.899,0,0.486,0.143
1,0.675,0.675,0,0,0,0,0.741,0.974,0.974,0,0.523,0.0476
1,0.882,0.882,0,0,0,0,0.881,0.993,0.993,0,0.363,0.0476
1,1,1,0,0,0,0,0.937,0.937,0.937,0,0.518,0.143
1,0.921,0.921,0,0,0,0,0.993,0.88,0.88,0,0.349,0.0952
1,0.719,0.719,0,0,0,0,0.965,0.843,0.843,0,0.386,0.0952
1,0.334,0.334,0,0,0,0,0.541,0.607,0.607,0,0.299,0.19
1,0.148,0.148,0,0,0,0,0.478,0.57,0.57,0,0,0
1,0.0857,0.0857,0,0,0,0,0.409,0.56,0.56,0,0,0.0476
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.114
0,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.267,0.267,0,0,0,0,0.29,0.635,0.635,0,0,0
0.5,0.26,0.26,0,0,0.483,0.533,0.297,0.635,0.635,0,0.19,0
0.5,0.251,0.251,0,0,0,0.283,0.304,0.645,0.645,0,0.63,0
0.5,0.245,0.245,0.0833,0,0,0,0.297,0.654,0.654,0,0.624,0.0476
1,0.436,0.436,0.683,0,0,0,0.392,0.843,0.843,0,0.318,0.333
1,0.439,0.439,0,0,0,0,0.433,0.824,0.824,0,0.7,0.19
0.5,0.253,0.253,0,0,0,0,0.353,0.664,0.664,0,0.462,0.143
0,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0476
0.5,0.362,0.362,0,0,0.55,0,0.499,0.72,0.72,0,0.0618,0
1,0.882,0.882,0,0,1,0.333,0.881,0.993,0.993,0,0.526,0
1,1,1,0,0,0.133,1,0.937,0.937,0.937,0,0.512,0.0476
1,0.921,0.921,0,0,0,0.833,0.993,0.88,0.88,0,0.487,0
1,0.719,0.719,0,0,0,0,0.965,0.843,0.843,0,0.602,0.0476
1,0.334,0.334,0,0,0,0,0.541,0.607,0.607,0,0.34,0.333
1,0.148,0.148,0,0,0,0,0.478,0.57,0.57,0,0.359,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.26,0.26,0,0,0,0,0.367,0.635,0.635,0,0,0
0,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0476
0,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.244,0.244,0.25,0,0,0,0.346,0.645,0.645,0,0,0
1,0.457,0.457,0,0,0,0,0.447,0.862,0.862,0,0,0
1,0.523,0.523,0,0,0,0,0.545,0.899,0.899,0,0,0
1,0.675,0.675,0,0,0,0,0.741,0.974,0.974,0,0,0.0952
1,0.882,0.882,0,0,0,0,0.881,0.993,0.993,0,0,0.19
1,1,1,0,0,0,0,0.937,0.937,0.937,0,0,0.0476
1,0.921,0.921,0,0,0,0,0.993,0.88,0.88,0,0,0
1,0.384,0.384,0,0,0,0,0.611,0.654,0.654,0,0,0.0952
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.19
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.143
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0952
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0.0833,0,0,0,0.258,0.465,0.465,0,0,0.381
1,0.2,0.2,0.167,0,0,0,0.43,0.579,0.579,0,0,0.177
1,0.246,0.246,0,0,0,0,0.457,0.626,0.626,0,0,0
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.143
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.253,0.253,0,0,0,0,0.353,0.664,0.664,0,0,0
0.5,0.286,0.286,0,0,0.8,0,0.402,0.682,0.682,0,0.274,0
0.5,0.362,0.362,0.25,0,1,0.333,0.499,0.72,0.72,0,0.198,0
1,0.882,0.882,0,0,0.133,0.483,0.881,0.993,0.993,0,0,0.0476
0.5,0.524,0.524,0,0,0,0,0.597,0.701,0.701,0,0,0.476
1,0.921,0.921,0,0,0,0,0.993,0.88,0.88,0,0,0.0952
1,0.719,0.719,0,0,0,0,0.965,0.843,0.843,0,0,0.286
0.5,0.334,0.334,0,0,0,0,0.541,0.607,0.607,0,0,0.469
1,0.247,0.247,0,0,0,0,0.699,0.674,0.674,0,0,0.238
1,0.0857,0.0857,0,0,0,0,0.409,0.56,0.56,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0476
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.286
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.259
